,,,,"  Table 1. Revised Estimates of Florida Population by County, 2010–2020",  ,,,,,,,,,,,,,,
, Census                                                                                                                           Estimate                                                                                                                                       Census,,,,,,,,,,,,,,,,,,
Okaloosa,"180,822","  182,721","  182,721","  187,580","  187,580","  189,979","  189,979","  192,931","  192,931","  195,431","  195,431","  197,867","  197,867","  201,174","  201,174","  204,655","  204,655","  208,500","211,668"
Okeechobee,"39,996","    39,693","    39,693","    39,430","    39,430","    39,214","    39,214","    39,084","    39,084","    39,047","    39,047","    39,454","    39,454","    39,542","    39,542","    39,367","    39,367","    39,622","39,644"
Orange,"1,145,956","1,163,170","1,163,170","1,185,898","1,185,898","1,212,950","1,212,950","1,239,616","1,239,616","1,267,505","1,267,505","1,298,087","1,298,087","1,331,702","1,331,702","1,366,343","1,366,343","1,400,539","1,429,908"
Osceola,"268,685","  275,824","  275,824","  284,093","  284,093","  292,931","  292,931","  302,047","  302,047","  314,446","  314,446","  328,433","  328,433","  342,770","  342,770","  357,202","  357,202","  373,034","388,656"
Palm Beach,"1,320,134","1,330,681","1,330,681","1,343,284","1,343,284","1,357,675","1,357,675","1,374,877","1,374,877","1,395,024","1,395,024","1,413,180","1,413,180","1,435,357","1,435,357","1,455,251","1,455,251","1,472,706","1,492,191"
Pasco,"464,697","  469,751","  469,751","  475,116","  475,116","  482,113","  482,113","  490,032","  490,032","  499,976","  499,976","  510,594","  510,594","  522,258","  522,258","  533,827","  533,827","  547,083","561,891"
Pinellas,"916,542","  916,783","  916,783","  917,331","  917,331","  920,591","  920,591","  924,532","  924,532","  931,963","  931,963","  938,848","  938,848","  944,400","  944,400","  949,970","  949,970","  954,914","959,107"
Polk,"602,095","  608,275","  608,275","  614,066","  614,066","  622,687","  622,687","  633,010","  633,010","  644,261","  644,261","  658,395","  658,395","  673,383","  673,383","  687,275","  687,275","  704,192","725,046"
Putnam,"74,364","    74,038","    74,038","    73,390","    73,390","    72,921","    72,921","    72,739","    72,739","    72,768","    72,768","    72,855","    72,855","    73,001","    73,001","    72,931","    72,931","    73,073","73,321"
St. Johns,"190,039","  195,118","  195,118","  200,559","  200,559","207,470","207,470","214,882","214,882","222,625","222,625","  230,741","  230,741","  240,472","  240,472","  250,241","  250,241","  263,902","273,425"
St. Lucie,"277,789","  280,793","  280,793","  283,188","  283,188","285,728","285,728","289,015","289,015","294,473","294,473","  300,257","  300,257","  305,928","  305,928","  311,683","  311,683","  318,741","329,226"
Santa Rosa,"151,372","  155,587","  155,587","  157,366","  157,366","159,875","159,875","162,806","162,806","166,434","166,434","  170,443","  170,443","  174,284","  174,284","  178,523","  178,523","  182,949","188,000"
Sarasota,"379,448","  381,469","  381,469","  384,003","  384,003","386,356","386,356","389,183","389,183","394,257","394,257","  400,956","  400,956","  407,877","  407,877","  416,084","  416,084","  423,933","434,006"
Seminole,"422,718","  425,001","  425,001","  428,268","  428,268","431,524","431,524","436,515","436,515","441,651","441,651","  447,272","  447,272","  452,565","  452,565","  459,642","  459,642","  466,192","470,856"
Sumter,"93,420","    96,434","    96,434","    98,911","    98,911","102,919","102,919","107,561","107,561","111,341","111,341","  113,932","  113,932","  115,773","  115,773","  118,948","  118,948","  122,003","129,752"
Suwannee,"41,551","    43,050","    43,050","    43,423","    43,423","    43,382","    43,382","    43,511","    43,511","    43,551","    43,551","    43,344","    43,344","    43,426","    43,426","    43,253","    43,253","    43,479","43,474"
Taylor,"22,570","    22,483","    22,483","    22,793","    22,793","    22,838","    22,838","    22,651","    22,651","    22,497","    22,497","    22,154","    22,154","    21,865","    21,865","    21,731","    21,731","    21,788","21,796"
Union,"15,535","    15,531","    15,531","    15,618","    15,618","    15,672","    15,672","    15,841","    15,841","    16,075","    16,075","    16,169","    16,169","    16,373","    16,373","    16,357","    16,357","    16,139","16,147"
Volusia,"494,593","  496,655","  496,655","  499,610","  499,610","  502,777","  502,777","  507,995","  507,995","  514,710","  514,710","  521,882","  521,882","  528,438","  528,438","  535,961","  535,961","  543,369","553,543"
Wakulla,"30,776","    30,921","    30,921","    30,874","    30,874","    31,129","    31,129","    31,516","    31,516","    31,545","    31,545","    31,795","    31,795","    31,976","    31,976","    32,022","    32,022","    33,054","33,764"
Walton,"55,043","    55,839","    55,839","    57,370","    57,370","    58,643","    58,643","    60,709","    60,709","    62,079","    62,079","    64,322","    64,322","    66,776","    66,776","    69,195","    69,195","    71,639","75,305"
Washington,"24,896","    24,628","    24,628","    24,944","    24,944","    24,853","    24,853","    24,989","    24,989","    25,035","    25,035","    24,937","    24,937","    25,016","    25,016","    25,124","    25,124","    25,425","25,318"
"  Source:  University of Florida, Bureau of Economic and Business Research                                                                                                                                                                                                                November 2021",,,,,,,,,,,,,,,,,,,
,,,,"    Table 2. Annual Population Change by County in Florida, 2010–2020",    ,,,,,,,,,,,,,,
,,,,,,,,,    Population  Change,,,,,,,,,,
  2010–2011,, 2011–2012, ,    2012–2013,    ,,2013–2014,,2014–2015,,2015–2016,,2016–2017,,2017–2018,,2018–2019,,2019–2020
Florida,"148,528","185,096","185,096","202,634","202,634",,"247,506",,"294,134",,"322,220",,"323,415",,"330,080",,"334,904",,"348,338"
Alachua,"1,536","     1,116","     1,116"," 2,203"," 2,203",,"     3,228",,"     4,122",,"     3,205",,"     3,581",,"     3,768",,"     4,147",,"4,226"
Baker,-145 ,24 ,24 ,-32 ,-32 ,,52 ,,55 ,,92 ,,  192 ,,  274 ,, 455 ,,177 
Bay,406 ,  337 ,  337 ,     660 ,     660 ,,"     1,018",,"     1,985",,"     2,017",,"     2,044",,"     1,889",,"-7,849",,"3,857"
Bradford,104 ,"-1,405","-1,405",   -104 ,   -104 ,,-11 ,,12 ,,40 ,,  148 ,,  475 ,, 482 ,,42 
Brevard,"2,881","     1,923","     1,923"," 3,754"," 3,754",,"     4,624",,"     7,931",,"     7,487",,"     7,202",,"     7,992",,"     9,279",,"10,163"
Broward,"11,631","18,361","18,361","16,111","16,111",,"19,702",,"22,803",,"25,532",,"21,799",,"23,019",,"21,318",,"16,033"
Calhoun,-21 , -109 , -109 ,   -106 ,   -106 ,,-108 ,,-147 ,,-81 ,,  174 ,,-23 ,, -749 ,,193 
Charlotte,555 ,"     2,586","     2,586",     993 ,     993 ,,"     1,439",,"     2,695",,"     3,332",,"     2,585",,"     4,088",,"     3,457",,"5,139"
Citrus,259 ,  346 ,  346 ,     399 ,     399 ,,  756 ,,"     1,192",,"     1,849",,"     1,449",,"     2,065",,"     2,195",,"2,097"
Clay,"1,011","     1,400","     1,400"," 1,389"," 1,389",,"     3,553",,"     3,287",,"     3,596",,"     3,242",,"     3,256",,"     2,998",,"3,648"
Collier,"2,219","     4,233","     4,233"," 3,408"," 3,408",,"     3,436",,"     5,969",,"     6,105",,"     6,259",,"     7,306",,"     7,123",,"8,174"
Columbia,-2 ,  237 ,  237 ,   -212 ,   -212 ,,  237 ,,  230 ,,  283 ,,  275 ,,  541 ,, 619 ,,-41 
DeSoto,-357 , -448 , -448 ,   -248 ,   -248 ,,-169 ,,-31 ,,34 ,,  125 ,,-351 ,, 187 ,,372 
Dixie,-37 ,-63 ,-63 ,-31 ,-31 ,,38 ,,  171 ,,  242 ,,-24 ,,-103 ,,82 ,,62 
Duval,"5,874","     8,403","     8,403"," 9,211"," 9,211",,"13,911",,"15,162",,"17,082",,"14,561",,"16,064",,"17,154",,"13,882"
Escambia,"1,695","     1,051","     1,051"," 1,793"," 1,793",,"     2,402",,"     2,491",,"     2,654",,"     2,946",,"     3,895",,"     2,650",,"2,709"
Flagler,981 ,"     1,160","     1,160"," 1,078"," 1,078",,"     1,551",,"     2,206",,"     2,055",,"     2,187",,"     2,337",,"     2,878",,"3,249"
Franklin,40 ,  119 ,  119 ,56 ,56 ,,  257 ,,86 ,,  114 ,,  138 ,,-39 ,, 385 ,,-254 
Gadsden,"1,265", -877 , -877 ,   -387 ,   -387 ,,71 ,,-182 ,, -229 ,, -442 ,,-572 ,, -876 ,,-334 
Gilchrist,39 ,-28 ,-28 ,-53 ,-53 ,,-7 ,,-45 ,,-15 ,,  329 ,,  142 ,, 256 ,,307 
Glades,-176 , -229 , -229 ,   -143 ,   -143 ,,0 ,,-108 ,,4 ,,-82 ,,-162 ,,-28 ,,166 
Gulf,-118 ,77 ,77 ,     121 ,     121 ,,  290 ,,-197 ,,  146 ,, -258 ,,  103 ,,"-2,982",,"1,147"
Hamilton,-139 ,29 ,29 ,   -392 ,   -392 ,,-216 ,,  191 ,,-2 ,,-18 ,,-105 ,,-14 ,,-129 
Hardee,-267 , -170 , -170 ,   -271 ,   -271 ,,-203 ,,-274 ,, -223 ,, -432 ,,-283 ,, -188 ,,-93 
Hendry,-270 , -837 , -837 ,   -352 ,   -352 ,,31 ,,  151 ,,  199 ,, 426 ,,  285 ,, 349 ,,497 
Hernando,883 ,  703 ,  703 ," 1,211"," 1,211",,"     1,485",,"     2,095",,"     2,766",,"     2,682",,"     3,417",,"     2,921",,"3,574"
Highlands,-276 ,-94 ,-94 ,-92 ,-92 ,,  270 ,,  370 ,, 475 ,,  394 ,,  171 ,, 529 ,,702 
